Customer ID,Recency,Frequency,Monetary,Avg_Order_Value,Predicted_LTV,Segment,Order Date,City,Category
SM-20320,80,15,19114.34379999999,1274.289586666666,16037.455317999982,Champion (Top 10%),2018-10-12,Monroe,Office Supplies
RB-19360,97,18,15117.339,839.8521666666667,13871.883344999995,Champion (Top 10%),2018-09-25,Auburn,Office Supplies
AB-10105,42,20,14473.570999999998,723.6785499999999,13384.801044999998,Champion (Top 10%),2018-11-19,Phoenix,Office Supplies
TS-21370,37,15,11891.751,792.7834,12418.426050000004,Champion (Top 10%),2018-11-24,New York City,Office Supplies
SC-20095,350,22,14142.333999999999,642.8333636363636,11887.195962999998,Champion (Top 10%),2018-01-15,Concord,Office Supplies
BM-11140,308,16,11789.63,736.851875,11828.589900999996,Champion (Top 10%),2018-02-26,San Antonio,Office Supplies
SE-20110,10,19,12209.438000000002,642.6020000000001,11619.658619,Champion (Top 10%),2018-12-21,New York City,Office Supplies
TC-20980,400,12,19052.218,1587.6848333333335,11487.417958000007,Champion (Top 10%),2017-11-26,Seattle,Office Supplies
CJ-12010,190,20,11164.974,558.2487,10628.842737000006,Champion (Top 10%),2018-06-24,Huntington Beach,Furniture
KF-16285,98,18,10604.266,589.1258888888889,10606.239329999986,Champion (Top 10%),2018-09-24,Manteca,Office Supplies
SV-20365,102,32,11470.949999999999,358.46718749999997,10582.147777999986,Champion (Top 10%),2018-09-20,Dover,Furniture
CC-12370,44,11,12129.072000000002,1102.6429090909094,10411.261670000018,Champion (Top 10%),2018-11-17,Fayetteville,Office Supplies
HL-15040,44,11,12873.297999999999,1170.2998181818182,10369.476450000018,Champion (Top 10%),2018-11-17,Houston,Office Supplies
CL-12565,285,28,10880.546,388.5909285714286,10300.811809999988,Champion (Top 10%),2018-03-21,Urbandale,Office Supplies
EH-13765,136,27,9940.380000000001,368.1622222222223,9876.788077999998,Champion (Top 10%),2018-08-17,Watertown,Office Supplies
KL-16645,48,29,14175.229000000001,488.80100000000004,9834.583039999992,Champion (Top 10%),2018-11-13,Chicago,Office Supplies
GT-14710,37,29,11820.119999999999,407.5903448275862,9823.952268999994,Champion (Top 10%),2018-11-24,Houston,Office Supplies
TB-21400,203,16,9108.742,569.296375,9821.32861,Champion (Top 10%),2018-06-11,Seattle,Office Supplies
BS-11365,559,9,10501.653,1166.8503333333333,9718.122420000016,Champion (Top 10%),2017-06-20,New York City,Furniture
TA-21385,70,10,14595.62,1459.5620000000001,9171.065054000012,Champion (Top 10%),2018-10-22,New York City,Office Supplies
JL-15835,22,33,9576.343,290.19221212121215,8903.350479999996,Champion (Top 10%),2018-12-09,Mission Viejo,Office Supplies
PF-19120,835,19,9062.864,476.99284210526315,8771.367590999987,Champion (Top 10%),2016-09-17,Gilbert,Office Supplies
JD-16150,42,17,8828.0305,519.2959117647059,8718.242279999997,Champion (Top 10%),2018-11-19,Minneapolis,Furniture
ME-17320,43,22,10663.728000000001,484.71490909090915,8636.418090999994,Champion (Top 10%),2018-11-18,Columbus,Office Supplies
LA-16780,155,26,8673.222,333.5854615384615,8567.491981999987,Champion (Top 10%),2018-07-29,Taylor,Office Supplies
NC-18535,7,15,8241.739,549.4492666666666,8433.884304999992,Champion (Top 10%),2018-12-24,Dallas,Office Supplies
JE-15715,47,22,8697.842999999999,395.3564999999999,8427.985099999998,Champion (Top 10%),2018-11-14,Broomfield,Office Supplies
DR-12940,51,13,8350.868,642.3744615384616,8359.32720500001,Champion (Top 10%),2018-11-10,Franklin,Office Supplies
KD-16270,485,16,8282.358,517.647375,8260.760040000001,Champion (Top 10%),2017-09-02,Springfield,Office Supplies
KD-16495,113,28,8181.256,292.1877142857143,8121.497650000005,Champion (Top 10%),2018-09-09,New York City,Office Supplies
